query_type,query,results_returned,recognised_keyword_features,top_hybrid_score,second_hybrid_score,hybrid_score_gap,top_hybrid_title,top_result_semantic_score,top_result_keyword_score,strongest_semantic_score,strongest_semantic_title,strongest_keyword_score,strongest_keyword_title,top_three_titles
valid,road crash data,50,5,0.016393442622950817,0.015835777126099706,0.0005576654968511112,NSW Crash Data,0.7205349206924438,0.4060044288635254,0.7205349206924438,NSW Crash Data,0.4060044288635254,NSW Crash Data,NSW Crash Data | NSW crash statistics: Road users by behavioural factors in crashes | NSW crash statistics: Road users by local government area of crash
valid,Sydney public transport passenger data,50,6,0.016020864381520117,0.013888888888888888,0.0021319754926312287,Outer Urban Public Transport Maps for Greater Sydney,0.7100193500518799,0.1865294873714447,0.7100193500518799,Outer Urban Public Transport Maps for Greater Sydney,0.2527897357940674,Public Transport Trips - Sydney CBD,Outer Urban Public Transport Maps for Greater Sydney | Active Transport Data | Urban Transport Access to jobs and services
valid,water quality monitoring,50,5,0.015855532786885243,0.015584998877161464,0.00027053390972377883,Hunter Water Corporation – Surface Water Quality Monitoring Programs,0.6284847855567932,0.29270926117897034,0.6698324680328369,Hunter Water – Surface Water Quality monitoring associated with Wastewater Treatment Works,0.29270926117897034,Hunter Water Corporation – Surface Water Quality Monitoring Programs,Hunter Water Corporation – Surface Water Quality Monitoring Programs | Hunter Water – Surface Water Quality monitoring associated with Wastewater Treatment Works | Hunter Water - Source Water Quality Monitoring program for drinking water supplies
valid,hospital waiting times,50,4,0.016237314597970336,0.014778694673668416,0.0014586199243019193,Waiting times for elective surgery in public hospitals: NSW Department of Health,0.5241740942001343,0.1561330109834671,0.5241740942001343,Waiting times for elective surgery in public hospitals: NSW Department of Health,0.38158366084098816,Expected Waiting Times for Social Housing,Waiting times for elective surgery in public hospitals: NSW Department of Health | Hospital Quarterly: Performance of NSW public hospitals - July to September 2015 | Hospital Quarterly: Performance of NSW public hospitals - January to March 2016
valid,ambulance off stretcher times,50,7,0.016393442622950817,0.015835777126099706,0.0005576654968511112,Ambulance off-stretcher times,0.5765032768249512,0.641506016254425,0.5765032768249512,Ambulance off-stretcher times,0.641506016254425,Ambulance off-stretcher times,Ambulance off-stretcher times | Ambulance Service of New South Wales Annual Report 2005-2006 | Ambulance Service of New South Wales Annual Report 2007-2008
valid,koala habitat corridors,50,5,0.015887174541947928,0.015835777126099706,5.139741584822208e-05,Koala corridors in south-west Sydney,0.7693201303482056,0.19875474274158478,0.7693201303482056,Koala corridors in south-west Sydney,0.2977266311645508,NSW Koala Habitat Information Base,"Koala corridors in south-west Sydney | Potential impact of ‘Unrealised’ development on Koala habitat | Midcoast Council - Likely and Occupied Koala Habitat for Kundle, Khappinghat and Tea Gardens study areas."
misspelled,sdyney trafic volmue,50,0,0.011475409836065573,0.01129032258064516,0.0001850872554204127,"Office of the Minister for Customer Service, planning issues in Ryde",0.23980000615119934,0.0,0.23980000615119934,"Office of the Minister for Customer Service, planning issues in Ryde",0.0,"Office of the Minister for Customer Service, planning issues in Ryde","Office of the Minister for Customer Service, planning issues in Ryde | Fauna Impact Statement. Lismore to Mullumbimby Transmission Line. (Gunninah Consultants. Oct. 1994). | Bungendore FRMP - Hydraulic Model (Options)"
misspelled,emergncy departmnt wait times,50,2,0.016393442622950817,0.015702087286527514,0.0006913553364233035,Average wait time for households in urgent need,0.36197060346603394,0.13896016776561737,0.36197060346603394,Average wait time for households in urgent need,0.13896016776561737,Average wait time for households in urgent need,Average wait time for households in urgent need | Waiting times for elective surgery in public hospitals: NSW Department of Health | Management of Court Waiting Times
misspelled,bushfir risk managment plans,50,4,0.013572761194029849,0.012286585365853657,0.0012861758281761913,South Creek Floodplain Risk Management Plan report,0.4216541051864624,0.046356987208127975,0.4354816675186157,NSW BushFire Prone Land,0.12269315123558044,Narromine Town Floodplain Risk Management Study And Plan Update - Reports,South Creek Floodplain Risk Management Plan report | Bonalbo Floodplain Risk Management Plan | Jerilderie Floodplain Risk Management Study and Plan - Report
nonsense,asdfghjkl,50,0,0.011475409836065573,0.01129032258064516,0.0001850872554204127,Roozendaal welcomes seven-year high in business confidence – green shoots growing,0.23872816562652588,0.0,0.23872816562652588,Roozendaal welcomes seven-year high in business confidence – green shoots growing,0.0,Roozendaal welcomes seven-year high in business confidence – green shoots growing,"Roozendaal welcomes seven-year high in business confidence – green shoots growing | Treasurer Roozendaal: more good economic news for NSW as business confidence up, job ads up | Treasurer Roozendaal: stamp duty relief extended for North Coast motorists"
nonsense,zxqvplm,50,0,0.011475409836065573,0.01129032258064516,0.0001850872554204127,ANZLIC National Nested Grids for NSW - GDA94 Geographic projection (dms),0.28769344091415405,0.0,0.28769344091415405,ANZLIC National Nested Grids for NSW - GDA94 Geographic projection (dms),0.0,ANZLIC National Nested Grids for NSW - GDA94 Geographic projection (dms),ANZLIC National Nested Grids for NSW - GDA94 Geographic projection (dms) | Rehabilitation and environmental management plan for Z.C. Mines. | ANZLIC National Nested Grids for NSW - GDA94 Aust Albers - nested in 10km
nonsense,qqq 9182 zzz,50,0,0.011475409836065573,0.01129032258064516,0.0001850872554204127,Brian Tamberlin QC To Head Electricty Sale Inquiry,0.30328720808029175,0.0,0.30328720808029175,Brian Tamberlin QC To Head Electricty Sale Inquiry,0.0,Brian Tamberlin QC To Head Electricty Sale Inquiry,Brian Tamberlin QC To Head Electricty Sale Inquiry | Main Road 92 upgrade: Nowra to Nerriga: representations report | Clarence Valley Council Report - 2008 Local Government Elections
symbols,@@@ ### !!!,50,0,0.011475409836065573,0.01129032258064516,0.0001850872554204127,Small Mammal Trapping Report. Tomago Aluminium Company Pty Limited (SJXK000615DI-DY) (Oct. 1996).,0.19110161066055298,0.0,0.19110161066055298,Small Mammal Trapping Report. Tomago Aluminium Company Pty Limited (SJXK000615DI-DY) (Oct. 1996).,0.0,Small Mammal Trapping Report. Tomago Aluminium Company Pty Limited (SJXK000615DI-DY) (Oct. 1996).,Small Mammal Trapping Report. Tomago Aluminium Company Pty Limited (SJXK000615DI-DY) (Oct. 1996). | Science for Wildlife Community Attitude Survey Data | Coastal IFOA Canopy Dieback Monitoring - January to December 2020
symbols,/// &&& ***,50,0,0.011475409836065573,0.01129032258064516,0.0001850872554204127,NSWPP_DHP_RFS3,0.19209927320480347,0.0,0.19209927320480347,NSWPP_DHP_RFS3,0.0,NSWPP_DHP_RFS3,NSWPP_DHP_RFS3 | “Flip flop” O’Farrell out of touch on health reform: Treasurer Roozendaal | Hansard API
unrelated_words,banana asteroid hospital quantum,50,3,0.014536634325861492,0.014407814407814407,0.00012881991804708504,Hospitals - NSW Features of Interest Category - Health Facilities - GDA2020 Service,0.24986684322357178,0.030391007661819458,0.24986684322357178,Hospitals - NSW Features of Interest Category - Health Facilities - GDA2020 Service,0.07705916464328766,The Children's Hospital at Westmead Annual Report 2008,Hospitals - NSW Features of Interest Category - Health Facilities - GDA2020 Service | Royal Prince Alfred Hospital Map | Health Facilities - NSW Features of Interest - GDA2020 Service
unrelated_words,purple submarine taxation koala,50,3,0.015687263556116014,0.014448217317487265,0.0012390462386287493,Koala Population Decline,0.39769548177719116,0.1805054396390915,0.43336397409439087,Interim Report on Monitoring of Impacts on Koalas Associated with the Upgrading and Part Realignment of Old Bogangar Road. (SJAL010504OD-OJ) (June. 1998).,0.1805054396390915,Koala Population Decline,Koala Population Decline | Koala Management Plan for Koala Beach Residential Development. Amendment No. 1 (SJJT03082701 - SJJT0308270J) (June. 1996). | The effect of fire on koala diet composition and quality
